id,date,comments
2200401,2012-09-04,0.3802
2255411,2012-09-10,0.9702
2316293,2012-09-17,0.9702
2339727,2012-09-18,0.9799
2496120,2012-10-03,0.9725
2539714,2012-10-08,0.944
2598913,2012-10-13,0.8828
2630086,2012-10-16,0.9512
2722753,2012-10-26,0.9587
2787556,2012-11-02,0.9539
2819519,2012-11-05,0.9607
2875472,2012-11-13,0.9432
2935851,2012-11-21,0.9616
3060656,2012-12-11,0.9657
3221821,2013-01-02,0.9231
3384908,2013-01-21,0.8711
3520405,2013-02-11,0.9823
3571485,2013-02-18,-0.5095
3686747,2013-03-04,0.9431
3782530,2013-03-14,0.9735
3878677,2013-03-24,0.9817
3949773,2013-03-30,0.9623
4050253,2013-04-06,0.9814
4077852,2013-04-08,0.8439
4160770,2013-04-15,0.974
4255031,2013-04-22,0.9792
4325776,2013-04-28,0.9546
4475109,2013-05-07,0.7783
4641182,2013-05-17,0.9297
6041287,2013-07-28,0.9243
6225093,2013-08-04,0.8211
7873890,2013-10-07,0.9586
8525895,2013-11-04,0.9534
8659635,2013-11-11,0.9633
8979936,2013-11-30,0.6542
9062833,2013-12-03,0.9583
9168502,2013-12-10,0.9588
9263218,2013-12-16,0.9524
9364697,2013-12-24,0.9844
9535273,2014-01-02,-0.319
9847018,2014-01-13,0.9513
9945627,2014-01-20,0.9701
18755460,2014-08-31,0.7003
20922499,2014-10-07,0.9735
23440927,2014-12-01,0.9923
24736854,2015-01-02,0.9756
41239506,2015-08-05,0.994
12323649,2014-04-28,0.956
12445870,2014-05-02,0.9675
12805813,2014-05-11,0.9661
12912850,2014-05-13,0.9402
12965691,2014-05-15,0.659
13116467,2014-05-19,0.963
13256532,2014-05-23,0.9638
13384549,2014-05-26,0.9786
13720331,2014-06-02,0.9744
15056302,2014-07-01,0.9402
15367445,2014-07-07,0.9482
15519567,2014-07-10,0.9448
15893474,2014-07-17,0.8164
16516230,2014-07-28,0.566
16826350,2014-08-03,0.9745
17704959,2014-08-16,0.8481
17991106,2014-08-19,0.9935
18087658,2014-08-21,0.8868
18453829,2014-08-26,0.9976
18892527,2014-09-02,0.9972
19252303,2014-09-08,0.9854
19610368,2014-09-15,0.9599
19809255,2014-09-18,0.9228
20588772,2014-10-01,0.9813
21113716,2014-10-11,0.9118
21308235,2014-10-14,0.9125
21989242,2014-10-27,0.966
22549103,2014-11-09,0.9686
23984381,2014-12-15,0.9752
24066972,2014-12-18,0.9641
24575787,2014-12-30,0.3987
24789372,2015-01-02,0.8908
25072289,2015-01-05,0.881
25158761,2015-01-07,0.8893
25347042,2015-01-12,0.5411
25533738,2015-01-18,0.9695
25774090,2015-01-25,0.2263
26475970,2015-02-13,0.9856
26513147,2015-02-14,0.9588
26575680,2015-02-15,0.9194
27829851,2015-03-13,0.9927
28172664,2015-03-19,0.9937
28613409,2015-03-27,0.9945
28802163,2015-03-30,0.5597
29082614,2015-04-03,0.9824
29937845,2015-04-14,0.9914
30324187,2015-04-20,0.9779
30727508,2015-04-26,0.9612
31331172,2015-05-04,0.9611
33366124,2015-05-27,0.9819
33796396,2015-06-01,0.9482
34438657,2015-06-08,0.9508
35094756,2015-06-15,0.9876
35668814,2015-06-21,0.9952
39386503,2015-07-23,0.9476
40218401,2015-07-29,0.9421
40530247,2015-07-31,0.9472
43056598,2015-08-17,0.9516
45826902,2015-09-06,0.9437
46116983,2015-09-08,0.9582
48089025,2015-09-23,0.8922
49002523,2015-09-30,0.9683
53467368,2015-11-09,0.9885
64826710,2016-03-08,0.919
67524668,2016-03-29,0.956
494505,2011-09-01,0.9726
608970,2011-10-08,0.9571
657249,2011-10-24,-0.5801
770474,2011-12-07,0.8834
1296807,2012-05-17,0.9422
1347501,2012-05-25,0.9815
1584306,2012-06-28,0.9612
1725694,2012-07-16,0.9857
1988329,2012-08-14,0.945
