id,accommodates,amenities,bathrooms,bed_type,bedrooms,beds,cancellation_policy,cleaning_fee,description,extra_people,first_review,guests_included,host_about,host_acceptance_rate,host_identity_verified,host_response_rate,host_response_time,host_since,host_total_listings_count,host_verifications,instant_bookable,is_location_exact,latitude,listing_url,longitude,maximum_nights,minimum_nights,name,neighborhood_overview,notes,number_of_reviews,price,property_type,review_scores_accuracy,review_scores_checkin,review_scores_cleanliness,review_scores_communication,review_scores_location,review_scores_rating,review_scores_value,reviews_per_month,room_type,security_deposit,space,square_feet,summary,transit,picture_url,thumbnail_url,description_score,avg_comment_score,comments_scores_5,comments_scores_though_time,SCORE
665257,2,"{""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",""Pets live on this property"",""Other pet(s)"",""Indoor Fireplace"",Heating}",1.0,Real Bed,1,1,0.5,-1,"You will be staying in a lovely, bright 1-bedroom cottage nestled between two beautiful old growth oaks trees and centrally located close to everything Asheville has to offer.   You will be staying in a lovely, bright 1-bedroom cottage nestled between two beautiful old growth oaks trees and centrally located close to everything Asheville has to offer.   The cottage has a full bathroom and kitchen supplied with all of the basic dishes and cookware, including blender and wine glasses.  The cottage also includes wi-fi, a stone fire-place with remote control gas logs, a/c, ceiling fan, plenty of parking, and a large, shaded yard great for relaxing in the hammock after a long day exploring Asheville or the surrounding areas.  The bedroom has a comfy queen-sized bed, roomy closet, and lots of shelves.  Linens and paper products will be provided.  When available enjoy fresh eggs from the backyard hens.  Sample veggies from the organic garden.  If disc golf is your game, there is a basket for ",-1,2012-09-04,2,0.9606,0,1,0.01,0.75,0.0005580357142857143,0.01,4.8,0,1,35.59078366342912,https://www.airbnb.com/rooms/665257,-82.59146636997585,120,7,"Lovely cabin, great Asheville spot",0.0,0.0,0.047,-1,House,1.0,1.0,0.9,1.0,0.9,0.96,1.0,1.06,Entire home/apt,-1,0.9805,,0.9217,0.0,https://a0.muscache.com/im/pictures/24515186/50c0c885_original.jpg?aki_policy=large,https://a0.muscache.com/im/pictures/24515186/50c0c885_original.jpg?aki_policy=small,0.9909,13.9849585695,"{'2012-09-04': 14.074225803571428, '2012-11-13': 13.78958580357143, '2013-04-08': 14.180179136904762, '2013-11-30': 14.099945803571428, '2015-08-05': 13.79264580357143}",-0.973353333333,13.7926458036
2746729,4,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Dog(s),""Hot Tub"",Heating,""Family/Kid Friendly""}",1.0,Real Bed,1,2,0.0,-1,"Our business is called ""Asheville Glamping"" Follow us on INSTAGRAM -ashevilleglamping to see more Please note that this tent does not retain heat like a normal home- we have electric blankets and a mattress cover that guarantee that you are warm and comfy sleeping- but the rest of the tent will match the outside temp in the colder months. The bathroom is heated and stays toasty and so does the HOT TUB! :-D  ***To whom it may concern: We are operating a legal rental. Our property is covered under zoning as a campground. As of August of 2015, Asheville has started to enforce the ban on short term rentals that are located within Asheville city limits that are in areas that are zoned residential- our properties are zoned ""open use"" just outside of Asheville city limits, in West Asheville.  We have been constantly upgrading this site since we offered Asheville's first set up tent rental in April of 2014! We are now pleased to offer our guests a luxury Bell tent fully furnished with everythi",-1,2014-04-28,2,0.9897,0.011904761904761904,1,0.01,1.0,0.0006180469715698393,0.05,4.5,0,0,35.5849679090387,https://www.airbnb.com/rooms/2746729,-82.63219899642932,1125,2,Glamping w HOT TUB + AC!,0.7945,0.8975,0.065,-1,Tent,0.9,1.0,1.0,1.0,0.9,0.96,0.9,2.69,Entire home/apt,-1,0.8258,,0.0,0.7088,https://a2.muscache.com/im/pictures/78054367/99c4b4a5_original.jpg?aki_policy=large,https://a2.muscache.com/im/pictures/78054367/99c4b4a5_original.jpg?aki_policy=small,0.8188,15.1966943688,"{'2014-04-28': 15.238615907261261, '2014-08-19': 15.219969753415107, '2015-01-05': 14.914800522645878, '2015-05-04': 15.28400821495357, '2016-03-29': 15.326077445722801}",0.646915384615,15.3260774457
6919450,1,"{TV,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",""Pets live on this property"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo}",1.0,Real Bed,1,1,flexible,$25.00,"Asheville is a great place to visit.  If you are in between homes, on business,  or just need to get away; this is the place to be. We are located on a few minutes from downtown,  but the country feel of the Carolinas. Small quaint neighborhood.",$0.00,,1,0.9595,N/A,f,N/A,N/A,2015-06-19,1,"['phone', 'facebook']",f,f,35.62659989827466,https://www.airbnb.com/rooms/6919450,-82.63761794784351,1125,1,"Good size bedroom,  private",0.0,0.0,0,$45.00,House,,,,,,,,,Private room,,0.0,,0.3716,0.0,https://a1.muscache.com/im/pictures/88315390/3c057a66_original.jpg?aki_policy=large,https://a1.muscache.com/im/pictures/88315390/3c057a66_original.jpg?aki_policy=small,0.3716,0,{},0,0
12286328,6,"{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Breakfast,Heating,""Smoke Detector"",""First Aid Kit"",""Fire Extinguisher"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",2.5,Real Bed,1,6,moderate,,"Six bed mixed dorm in hostel. Easy walk to restaurants, cafes, bakery, organic market, pubs, music, and shopping.",$24.00,,1,0.0,68%,f,100%,within a few hours,2011-06-26,6,"['email', 'phone', 'facebook', 'reviews']",f,t,35.57915861434203,https://www.airbnb.com/rooms/12286328,-82.59639206632468,7,1,Mixed Dorm,0.0,0.0,0,$24.00,Dorm,,,,,,,,,Shared room,,0.0,,0.4404,0.0,https://a2.muscache.com/im/pictures/62bf2788-18fa-481c-b4bc-cbdc6184835f.jpg?aki_policy=large,https://a2.muscache.com/im/pictures/62bf2788-18fa-481c-b4bc-cbdc6184835f.jpg?aki_policy=small,0.4404,0,{},0,0
156926,6,"{Internet,""Wireless Internet"",""Free Parking on Premises"",""Smoking Allowed"",Heating,""Family/Kid Friendly"",""Suitable for Events""}",2.5,Real Bed,1,6,0.5,-1,"Dorm bunks at BonPaul and Sharky's Hostel. We have a co-ed dorm, as well as female only dorm.  We have some offstreet parking behind the hostel and are located in a very safe neighborhood with plenty of free on-street parking.  Our front porch is awesome, with a porch swing.  Asheville public transit bus stop one block away.   Each room has 6 bunks and plenty of windows. Guests have access to all hostel amenities: full kitchen and bathrooms, wifi and internet, common area, book exchange, and cool international travelers. We are located in Historic West Asheville, walking distance to amazing restaurants, cafe's and pubs, grocery, and Asheville's River Art's District. Two private bathrooms are shared throughout the hostel. We are a traveler's hostel and therefore CANNOT BOOK TO AREA LOCALS. The bunk price is listed per bunk. For multiple people please be sure to adjust number of guest for correct price.",-1,2011-09-01,1,0.0,0.014705882352941176,0,0.01,0.75,0.00046685340802987864,0.06,4.1,0,1,35.577755335851116,https://www.airbnb.com/rooms/156926,-82.5949955466383,7,1,Mixed Dorm Bunk at BPS Hostel,0.0,0.0,0.114,-1,House,0.9,1.0,0.9,0.9,0.9,0.93,1.0,2.02,Shared room,-1,0.9638,,0.0,0.0,https://a2.muscache.com/im/pictures/8880023/027a94b7_original.jpg?aki_policy=large,https://a2.muscache.com/im/pictures/8880023/027a94b7_original.jpg?aki_policy=small,0.9638,12.5621123819,"{'2011-09-01': 12.62529384646612, '2014-03-20': 12.514137324726992, '2014-10-18': 12.582328629074816, '2015-07-06': 12.596363411683512, '2016-04-07': 12.489271712078768}",-0.361036363636,12.4892717121
3767793,10,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Hot Tub"",Heating,""Family/Kid Friendly"",""Suitable for Events"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",""24-Hour Check-in"",Hangers}",2.5,Real Bed,4,5,0.0,-1,"Don't miss out on this modern home with luxuriously comfy king bed, 50 Inch flat screen TV with Netflix, wrap around decks with 180 mountain views, simple relaxation, great kitchen, Jacuzzi tub, and outdoor hot tub. I will not accept reservations more than 30 days in advance of the date you would like to stay on Airbnb due to their set cancellation policies. You can book more than 30 Days in advance on th(URL HIDDEN)website  Listing 613068  Beautiful Nightly Rental with Spectacular mountain views and outdoor entertaining space with lounge chairs, decks, outdoor entertainment bar, and comfortable patio set for the ultimate relaxation. The home is 2800 square feet, huge private decks and 180 Mountain Views. The master bedroom features mountain views, large jetted Jacuzzi tub, shower, double vanity, modern, simple feel, and 5lb density 12 inch thick temperpedic memory foam mattress.  7 miles to World Famous Sunny Point Cafe, West Asheville, and Downtown. The Space There is a fabulous temp",-1,2014-08-04,4,0.9844,0.0136986301369863,1,0.01,0.75,0.0007674597083653108,0.03,4.8,0,1,35.635953066770654,https://www.airbnb.com/rooms/3767793,-82.649397506254,180,2,Modern Home - Views - HOT TUB,0.7003,0.0,0.024,-1,House,0.8,0.9,0.8,0.9,0.8,0.78,0.8,1.15,Entire home/apt,-1,0.9774,,0.8378,0.4588,https://a1.muscache.com/im/pictures/50679899/6535bbb3_original.jpg?aki_policy=large,https://a1.muscache.com/im/pictures/50679899/6535bbb3_original.jpg?aki_policy=small,0.9851,13.4869132871,"{'2014-08-04': 13.773175787066725, '2014-10-29': 14.052655787066726, '2015-06-07': 13.345015787066725, '2015-10-04': 12.232075787066723, '2016-03-25': 14.167825787066725}",3.26838,14.1678257871
5927700,2,"{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Cat(s),Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""Safety Card"",Essentials}",1.0,Real Bed,1,1,1.0,-1,"Urban farm/Private Suite in our home is 3min from downtown with all the Asheville wonders close by. Our toddler zone can entertain your little one too! We can help you navigate for a great time! Ask about our futon for +guests. Bedroom has a private outdoor entrance off the covered front porch, located next to the shared bathroom, and features a sunroom open to the bedroom. The room is bright and the sunroom is a wonderful spot for enjoying tea or lounging while listening to the songbirds. Room includes a Queen sized bed, desk, and small tea table with two seats. The living room and kitchen have an open floor plan with updated kitchen appliances and many windows that make the space very bright. There are hardwood, tile and bamboo floors thoughout the space with comfortable furnishings. The kitchen features Athena water filter. The bathroom is located next to your private bedroom, and includes a shower and bathtub. The outdoor space at this house is very special. This is an urban farm w",-1,2015-04-19,2,0.9747,0.01,1,0.01,1.0,0.001226993865030675,0.01,5.0,1,1,35.58987845895937,https://www.airbnb.com/rooms/5927700,-82.58580023698586,1125,1,Bright Suite with Sunroom,0.6808,0.9337,0.098,-1,House,1.0,1.0,1.0,1.0,0.9,0.93,0.9,7.95,Private room,-1,0.9744,,0.8652,-0.296,https://a0.muscache.com/im/pictures/78920090/89ddb34c_original.jpg?aki_policy=large,https://a0.muscache.com/im/pictures/78920090/89ddb34c_original.jpg?aki_policy=small,0.9838,15.4739086178,"{'2015-04-19': 15.382902699386502, '2015-07-07': 15.550812699386507, '2015-09-04': 15.522492699386504, '2016-01-03': 15.575167962544398, '2016-04-15': 15.336352173070715}",-0.685967368421,15.3363521731
6698737,2,"{""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Breakfast,""Pets live on this property"",Cat(s),Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in""}",1.0,Real Bed,1,1,0.5,-1,"Mountains! Music! Beer! Eats! Make yourself at home... Arts & Crafts bungalow 2 blocks from vivacious West Asheville. Beautifully tended, inside and out. Comfortable queen-size bed in lovely room next to shared bathroom. Home made breakfast scones. The lovely master bedroom is cozy, quiet and serene with a firm queen-size bed, ample closet and drawer space and views of the inviting front porch.  Enjoy beautiful hardwood oak flooring, a futon couch for lounging and WiFi in the room.  The pristine clean shared bathroom is adjacent to the bedroom. The remodeled kitchen with breakfast nook or the front porch are inviting places for breakfast.  There is shelf space in both the kitchen and bathroom for guest use. Each morning, guests are welcome to enjoy hot tea, freshly brewed organic coffee, gluten-free scones, yogurt, granola, fruit and orange juice. Eat in the kitchen or out on the magical front porch swing. We are absolutely available to support guests by suggesting dining and touring o",-1,2015-06-07,1,0.967,0.010416666666666666,1,0.01,1.0,0.001282051282051282,0.01,3.6,1,1,35.575505673568806,https://www.airbnb.com/rooms/6698737,-82.59314187894729,1125,1,"Serene, spacious, cozy and clean!",0.92,0.9438,0.05,-1,House,1.0,1.0,1.0,1.0,1.0,0.98,1.0,4.67,Private room,-1,0.9705,,0.9457,0.4404,https://a0.muscache.com/im/pictures/84508863/32177d08_original.jpg?aki_policy=large,https://a0.muscache.com/im/pictures/84508863/32177d08_original.jpg?aki_policy=small,0.9932,15.9515958718,"{'2015-06-07': 16.014949871794869, '2015-07-09': 16.00327987179487, '2015-09-24': 16.049689871794872, '2015-11-14': 15.896269871794871, '2016-04-17': 15.793789871794871}",-0.78903,15.7937898718
7966916,3,"{""Wireless Internet"",""Air Conditioning"",""Pets live on this property"",Dog(s),Cat(s),Heating,""Family/Kid Friendly"",""Smoke Detector"",""Fire Extinguisher"",Essentials}",1.0,Real Bed,1,2,0.5,-1,"Walk to restaurants and bars. Top floor of handcrafted home with vaulted ceilings. Large full bath with glass shower.  One queen bed and one twin. Coffee table and seating, small fridge and coffeemaker. Yogurt, coffee, creamer and water bottles. Beautiful space with large windows throughout. Coffee, yogurt and water provided. Great linens and comfortable beds. This is the room you want to wake up in. The room has two beds, one queen and a twin. We have a cat and a dog that are friendly and curious. If allergies are an issue, think twice. You can access the top floor from our front door. We will be here to greet you and show you the ropes. We have a large front porch for relaxing and having a drink before walking 3 blocks to West Asheville for a great dinner and live music. There is street parking right in front. It's a quiet two block street. Jen and Steve will be here throughout your stay to offer any assistance or to stay out of your hair. We know the area well and have a guide book ",-1,2015-10-05,2,0.9788,0.01,1,0.01,1.0,0.0009017132551848512,0.01,5.8,1,1,35.57169346033714,https://www.airbnb.com/rooms/7966916,-82.58846327828371,7,2,West Asheville top floor sleeps 3,0.9186,0.1263,0.03,-1,House,1.0,1.0,1.0,1.0,1.0,0.99,1.0,4.48,Private room,-1,0.9524,,0.2023,-0.6597,https://a2.muscache.com/im/pictures/107681876/4c21b658_original.jpg?aki_policy=large,https://a2.muscache.com/im/pictures/107681876/4c21b658_original.jpg?aki_policy=small,0.979,15.6427201713,"{'2015-10-05': 15.605330171325518, '2015-11-09': 15.673430171325519, '2016-01-22': 15.645880171325516, '2016-03-06': 15.634380171325517, '2016-04-17': 15.654580171325518}",0.0593,15.6545801713
2254521,2,"{Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",Breakfast,""Pets live on this property"",Cat(s),Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo}",1.0,Real Bed,1,1,0.0,-1,"Enjoy a quaint Bungalow home in eclectic West Asheville!  The Mimosa Room offers an amazing stay directly over top the French Broad River.  Step out and down the hill to enjoy French Broad River trails or up the road to Asheville's best eateries! The space is private, and on a separate level from the main house.  There is a separate entrance through the beautiful yard with grassy hills, beautiful views and a sit down patio.  Enjoy the mermaids, fairies and the moon out back on a nice night!  The view of the stars is completely uninterrupted from -- up here.   Guests receive a key for the back entrance which opened directly into the Mimosa Room - there is a ten dollar key deposit -- guests also have access to their own private bathroom one level up as well as the kitchen.  The door is open. By the way, I'm Martha, your hostess, I live here with my two boy cats and have worked as a licensed massage therapist for 20 years.  When I'm not working, I'm looking to relax and unwind here in my ",-1,2014-02-16,1,0.0,0.01,1,0.01,0.75,0.00045475216007276033,0.01,4.8,0,1,35.56892841641057,https://www.airbnb.com/rooms/2254521,-82.56834178569086,1125,1,The Mimosa Room,0.7906,0.0,0.016,-1,Bed & Breakfast,1.0,1.0,0.9,1.0,1.0,0.94,0.9,0.60,Private room,-1,0.9933,0,0.95,-0.2263,https://a1.muscache.com/im/pictures/104986540/01fd3add_original.jpg?aki_policy=large,https://a1.muscache.com/im/pictures/104986540/01fd3add_original.jpg?aki_policy=small,0.9881,14.6975092252,"{'2014-02-16': 14.830090475216005, '2014-08-03': 14.863865475216008, '2015-02-05': 14.709765475216008, '2015-08-23': 14.196865475216006, '2016-01-30': 14.842765475216007}",0.770475,14.8427654752
